s,a,r,sp
24705,3,-25,24705
24705,3,-25,24704
24704,3,-25,24204
24204,3,-25,24203
24203,3,-25,24203
24203,3,-25,23702
23702,3,-25,23701
23701,3,-25,23700
23700,3,-25,23699
23699,3,-25,23698
23698,3,-25,23197
23197,3,-25,23196
23196,3,-25,23195
23195,3,-25,23194
23194,3,-25,23192
23192,3,-25,23191
23191,3,-25,23190
23190,3,-25,23188
23188,3,-25,23187
23187,3,-25,23186
23186,3,-25,23185
23185,3,-25,23184
23184,3,-25,23182
23182,3,-25,23181
23181,3,-25,23680
23680,3,-25,23679
23679,3,-25,23679
23679,3,-25,23678
23678,3,-25,24177
24177,3,-25,24177
24177,3,-25,24176
24176,3,-25,24176
24176,3,-25,24675
24675,3,-25,24675
24675,3,-25,24675
24675,3,-25,25175
25175,5,-25,25676
25676,5,-25,25676
25676,5,-25,26177
26177,5,-25,26679
26679,5,-25,27180
27180,5,-25,27682
27682,5,-25,28184
28184,5,-25,28187
28187,5,-25,28690
28690,5,-25,29192
29192,5,-25,29196
29196,5,-25,29699
29699,5,-25,29702
29702,5,-25,30206
30206,5,-25,30210
30210,5,-25,30213
30213,5,-25,30217
30217,5,-25,30221
30221,5,-25,30225
30225,5,-25,30229
30229,5,-25,30232
30232,5,-25,30236
30236,5,-25,29739
29739,5,-25,29743
29743,5,-25,29746
29746,5,-25,29249
29249,5,-25,28752
28752,5,-25,28754
28754,5,-25,28257
28257,5,-25,27759
27759,5,-25,27760
27760,5,-25,27262
27262,5,-25,26763
26763,5,-25,26264
26264,5,-25,25765
25765,5,-25,25265
25265,5,-25,25265
25265,5,-25,24765
24765,3,-25,23764
23764,3,-25,23263
23263,3,-25,22261
22261,3,-25,21758
21758,3,-25,20756
20756,3,-25,20252
20252,3,-25,19748
19748,3,-25,19244
19244,3,-25,18740
18740,3,-25,17735
17735,3,-25,17729
17729,3,-25,17224
17224,3,-25,16718
16718,3,-25,16212
16212,3,-25,16206
16206,3,-25,16200
16200,3,-25,15693
15693,3,-25,15687
15687,3,-25,15680
15680,3,-25,16174
16174,3,-25,16168
16168,3,-25,16162
16162,3,-25,16656
16656,3,-25,17151
17151,3,-25,17145
17145,3,-25,17640
17640,3,-25,18136
18136,3,-25,18631
18631,3,-25,19127
19127,3,-25,19624
19624,3,-25,20621
20621,3,-25,21118
21118,3,-25,21616
21616,3,-25,22114
22114,3,-25,23113
23113,3,-25,23612
23612,3,-25,24111
24111,3,-25,25111
25111,5,-25,26112
26112,5,-25,27113
27113,5,-25,27615
27615,5,-25,28618
28618,5,-25,29622
29622,5,-25,30626
30626,5,-25,31630
31630,5,-25,32636
32636,5,-25,33142
33142,5,-25,34148
34148,5,-25,34655
34655,5,-25,35162
35162,5,-25,36170
36170,5,-25,36678
36678,5,-25,37187
37187,5,-25,37195
37195,5,-25,37704
37704,5,-25,37713
37713,5,-25,37722
37722,5,-25,37731
37731,5,-25,37740
37740,5,-25,37249
37249,5,-25,37258
37258,5,-25,36766
36766,5,-25,36274
36274,5,-25,35782
35782,5,-25,35289
35289,5,-25,34796
34796,5,-25,34302
34302,5,-25,33308
33308,5,-25,32813
32813,5,-25,31818
31818,5,-25,31323
